LahmanPlayerID,Year,UniNo,,,
1595,1995,6,,,
1501,1995,7,,,
10264,1995,8,,,
1436,1995,9,,,
1426,1995,11,,,
1863,1995,15,,,
1695,1995,16,,,
1773,1995,17,,,
1961,1995,18,,,
1761,1995,19,,,
1105,1995,21,,,
1446,1995,22,,,
11472,1995,23,,,
1627,1995,24,,,
10543,1995,25,,,
1495,1995,26,,,
1864,1995,27,,,
10507,1995,28,,,
1239,1995,29,,,
1846,1995,30,,,
1177,1995,31,,,
1811,1995,32,,,
1881,1995,33,,,
1897,1995,34,,,
1894,1995,35,,,
1903,1995,36,,,
1682,1995,37,,,
1823,1995,39,,,
1757,1995,40,,,
1724,1995,42,,,
1736,1995,43,,,
1380,1995,44,,,
1777,1995,45,,,
1832,1995,50,,,
1604,1995,53,,,
1679,1995,56,,,
1717,1995,59,,,
1791,1995,60,,,
1624,1995,61,,,
1798,1995,64,,,
1741,1995,66,,,
1792,1995,67,,,
1847,1995,68,,,
1888,1995,69,,,
1613,1996,1,,,
1347,1996,2,,,
10099,1996,3,,,
1814,1996,4,,,
1450,1996,5,,,
1524,1996,6,,,
1595,1996,6,,,
1501,1996,7,,,
10264,1996,8,,,
1436,1996,9,,,
1426,1996,11,,,
1931,1996,13,,,
1760,1996,14,,,
1863,1996,15,,,
1695,1996,16,,,
1773,1996,17,,,
1961,1996,18,,,
1761,1996,19,,,
1105,1996,21,,,
11472,1996,23,,,
14231,1996,24,,,
10543,1996,25,,,
1495,1996,26,,,
1864,1996,27,,,
10507,1996,28,,,
1239,1996,29,,,
1860,1996,31,,,
1811,1996,32,,,
1881,1996,33,,,
1897,1996,34,,,
1894,1996,35,,,
1903,1996,36,,,
1682,1996,37,,,
1918,1996,38,,,
1823,1996,39,,,
1757,1996,40,,,
1724,1996,42,,,
1736,1996,43,,,
1380,1996,44,,,
1777,1996,45,,,
1888,1996,46,,,
1832,1996,50,,,
10510,1996,51,,,
1947,1996,53,,,
1679,1996,56,,,
1717,1996,59,,,
1624,1996,61,,,
1798,1996,64,,,
1741,1996,66,,,
1792,1996,67,,,
1847,1996,68,,,
1613,1997,1,,,
10099,1997,3,,,
1814,1997,4,,,
1970,1997,4,,,
1450,1997,5,,,
1595,1997,6,,,
1501,1997,7,,,
10264,1997,8,,,
1436,1997,9,,,
1426,1997,11,,,
1760,1997,14,,,
1863,1997,15,,,
1695,1997,16,,,
1773,1997,17,,,
1961,1997,18,,,
1761,1997,19,,,
10314,1997,22,,,
11472,1997,23,,,
14231,1997,24,,,
10543,1997,25,,,
1495,1997,26,,,
1667,1997,27,,,
10507,1997,28,,,
1239,1997,29,,,
1811,1997,32,,,
1897,1997,34,,,
1894,1997,35,,,
10046,1997,36,,,
1682,1997,37,,,
2007,1997,38,,,
1823,1997,39,,,
1757,1997,40,,,
1724,1997,42,,,
1736,1997,43,,,
1380,1997,44,,,
1777,1997,45,,,
1888,1997,46,,,
2017,1997,47,,,
1972,1997,49,,,
1832,1997,50,,,
10510,1997,51,,,
1947,1997,53,,,
1352,1997,55,,,
1973,1997,59,,,
1624,1997,61,,,
1798,1997,64,,,
1741,1997,66,,,
1792,1997,67,,,
1881,1997,67,,,
1974,1997,68,,,
1613,1998,1,,,
2022,1998,2,,,
10099,1998,3,,,
1814,1998,4,,,
1595,1998,6,,,
1797,1998,7,,,
10264,1998,8,,,
1426,1998,11,,,
10314,1998,12,,,
2042,1998,13,,,
