playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,대학,고교
40469,10469,,,1984,3,31,South Korea,,Seongnam,,,,,,,Kyeong-su,Park,,,,178,70,R,R,2003,2024,Korea National Open University,,,,,50469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,방송통신,성남고
31380,1380,,,1965,10,19,South Korea,,Seoul,,,,,,,Sang-ho,Kim,,,,180,70,R,R,1988,2000,Keimyung University,,,,,41380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,계명,선린상고
40174,10174,,,1985,3,21,South Korea,,Seoul,,,,,,,Jae-ho,Kim,,,,181,71,R,R,2004,2024,,,,,,50174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,중앙고
43285,13285,,,1970,8,19,South Korea,,Seongnam,,,,,,,Tae-won,Choi,,,Iron Man,179,70,R,R,1993,2003,Kyung Hee University,,,,,53285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,경희,성남고
32067,2067,,,1969,10,3,United States,,,,,,,,,Jay,Davis,,,,183,72,L,L,1999,2006,,,,,,42067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,미국 시카고ORR고
40177,10177,,,1980,10,19,South Korea,,Seoul,,,,,,,Si-heon,Son,,,,172,67,R,R,2003,2019,Dong-eui University,,,,,50177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동의,선린정보고
31352,1352,,,1963,8,28,South Korea,,Daegu,,,,,,,Jeong-hun,Lee,,,,169,66,L,L,1987,1997,Dong-A University,,,,,41352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동아,대구상고
40099,10099,,,1970,2,13,South Korea,,Wonju,,,,,,,Kyung-hyun,An,,,,182,71,R,R,1992,2010,Yonsei University,,,,,50099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,연세,원주고
40195,10195,,,1990,10,7,South Korea,,Suwon,,,,,,,Soo-bin,Jeong,,,,175,68,L,L,2009,2024,,,,,,50195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,유신고
31009,1009,,,1957,9,21,South Korea,,Busan,,,,,,,Yong-chul,Kim,,,,184,72,R,R,1982,1992,,,,,,41009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,부산상고
40030,10030,,,1985,5,19,South Korea,,Seoul,,,,,,,Ji-wahn,Na,,,,182,71,R,R,2008,2022,Dankook University,,,,,50030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,단국,신일고
40387,10387,,,1990,4,7,South Korea,,Seoul,,,,,,,Dong-won,Park,,,,178,70,R,R,2009,2024,,,,,,50387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,개성고
40239,10239,,,1981,3,25,South Korea,,Seoul,,,,,,,Joo-chan,Kim,,,,183,72,R,R,2000,2021,,,,,,50239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,충암고
31450,1450,,,1966,7,29,South Korea,,Seoul,,,,,,,Myong-soo,Lee,,,,181,71,R,R,1989,2001,Korea University,,,,,41450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,휘문고
42546,12546,,,1993,11,21,South Korea,,Ansan,,,,,,,Chang-ki,Hong,,,,189,74,L,R,2016,2024,Konkuk University,,,,,52546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,건국,안산공고
41467,11467,,,1963,4,28,South Korea,,Pohang,,,,,,,Jung-il,Ryu,,,,176,69,R,R,1987,1999,Hanyang University,,,,,51467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,한양,경북고
40627,10627,,,1981,7,1,South Korea,,Suwon,,,,,,,Han-jun,Yoo,,,,186,73,R,R,2005,2021,Dongguk University,,,,,50627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동국,유신고
31247,1247,,,1963,2,25,South Korea,,Seoul,,,,,,,Deog-kyu,Yun,,,,178,70,L,L,1985,1997,,,,,,41247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,대광고
42905,12905,,,1999,1,27,South Korea,,Incheon,,,,,,,Hye-sung,Kim,,,Comet,179,70,L,R,2017,2024,,,,,,52905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,동산고
31500,1500,,,1967,7,17,South Korea,,Gwangju,,,,,,,Ho-sung,Lee,,,,180,70,R,R,1990,2001,Yonsei University,,,,,41500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,연세,광주제일고
31239,1239,,,1962,8,18,South Korea,,Seoul,,,,,,,Hyung-seok,Kim,,,,185,72,L,L,1985,1998,Chung-Ang University,,,,,41239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,중앙,신일고
40320,10320,,,1990,3,23,South Korea,,Pohang,,,,,,,Sang-su,Kim,,,,175,68,R,R,2013,2024,Daegu Cyber University,,,,,50320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,대구사이버,경북고
40564,10564,,,1974,4,20,South Korea,,Pohang,,,,,,,Dong-woo,Kang,,,,177,69,L,L,1998,2013,Dankook University,,,,,50564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,단국,경북고
31299,1299,,,1961,2,27,South Korea,,Daegu,,,,,,,Kang-don,Lee,,,,175,68,L,L,1986,1997,Konkuk University,,,,,41299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,건국,대구상고
40108,10108,,,1982,9,13,South Korea,,Pohang,,,,,,,Kang-min,Kim,,,Beast,182,71,R,R,2002,2024,,,,,,50108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,경북고
42964,12964,,,1971,10,30,South Korea,,Gwangyang,,,,,,,Han-soo,Kim,,,,188,74,R,R,1994,2007,Chung-Ang University,,,,,52964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,중앙,광영고
40400,10400,,,1986,10,29,South Korea,,Seongnam,,,,,,,Jae-il,Oh,,,,187,73,L,L,2005,2024,,,,,,50400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,야탑고
40009,10009,,,1973,9,14,South Korea,,Gwangju,,,,,,,Jong-guk,Kim,,,,180,70,R,R,1996,2010,Korea University,,,,,50009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,광주제일고
31143,1143,,,1956,12,15,South Korea,,Daejeon,,,,,,,Gu-sun,Jung,,,,178,70,R,R,1983,1990,Dongguk University,,,,,41143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동국,대전고
31505,1505,,,1968,4,5,South Korea,,Incheon,,,,,,,Kyung-ki,Kim,,,Mr.Incheon,185,72,R,R,1990,2001,Korea University,,,,,41505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,인천고
32120,2120,,,1972,5,28,Dominican Republic,,,,,,,,,Tilson,Brito,,,,183,72,R,R,2000,2005,,,,,,42120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,도미니카 산이시드로고
